HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,
COMMENT VARIABLES,,,,,,,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g
EXTRACTION,,,,,,,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia
METHOD,,,,,,,"ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15"
LDL,,,,,,,50,1,0.01,0.01,0.001
UNIT,,,,,,,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
,ID,COUNTRY,C_ID,TYPE,XCOO,YCOO,Mg,Mn,Mo,Pb,Pd
,3187,AUS,29,Ap,15.1822,48.2095,32867.29248,437.7863693,0.495707192,14.24941946,0.0005
,3188,BUL,40,Ap,26.4049,42.0645,5906.014404,522.5735751,0.262986463,17.83685018,0.005015762
,3189,FRA,172,Ap,1.5875,44.3711,745.4601001,459.2826308,1.645342123,28.37829948,0.0005
,3190,BUL,40,ApD,26.4049,42.0645,6044.462891,506.647183,0.310056522,17.91594502,0.0005
,3191,ITA,108,Ap,8.3991,45.2542,3410.158022,94.25668942,0.268904827,14.56037058,0.0005
,3192,FOM,1,Ap,21.0775,42.0061,9341.890869,1313.574524,0.840104801,17.42212816,0.002404931
,3193,FIN,18,Ap,25.7167,60.3167,7427.332764,234.3929244,3.395936206,15.43914384,0.018621673
,3194,NOR,64,Ap,14.0175,65.3922,9540.857544,583.7196686,0.322964629,11.63387983,0.0005
,3195,SRB,15,Ap,21.2489,43.3118,3485.661533,1373.498535,0.79233361,42.22401956,0.0005
,3196,NEL,6,Ap,6.6162,52.8178,228.8330173,76.87784719,0.28886304,15.92177313,0.0005
,3197,UNK,43,Ap,-4.9014,50.4961,7018.987427,1074.065094,0.733405785,33.14559412,0.006781583
,3198,GER,10,Ap,10.5,54,1640.663464,384.3824817,0.397653928,16.46104684,0.0005
,3199,POL,36,Ap,15.689,53.1536,373.7094309,230.7543176,0.23666892,13.54746805,0.0005
,3201,POL,34,Ap,15.0057,53.1475,1343.55923,279.1715761,0.331946553,9.683606128,0.00572356
